Y,LNTT,DTL,Size,ATR,ROA,G_ASSET,Price,TL,DLTT,EBITDA,Inven,Cash,che
0.00,190.00,3.50,8.63,0.44,0.00,149251.00,4.20,183002.00,12474.00,0.92,19204.00,12522.00,0.00
1.00,-64414.00,-25.66,12.84,0.09,-0.04,669955.00,0.00,1662304.00,188576.00,0.00,359454.00,12300.00,0.00
0.00,915212.00,2.63,13.05,0.86,0.08,2511247.00,46.16,4648120.00,460814.00,0.04,4947006.00,135002.00,0.00
0.00,278170.00,3.19,15.03,0.21,0.07,1842717.00,54.50,2279610.00,2026832.00,-0.32,60534.00,145570.00,0.00
0.00,823554.00,2.47,9.34,0.40,0.15,2222093.00,34.56,2435538.00,9898.00,1.86,1150342.00,35352.00,2705678.00
0.00,20560.00,1.26,11.77,0.27,0.04,253713.00,14.86,153222.00,37362.00,0.78,34406.00,15600.00,50000.00
0.00,84246.00,0.25,11.95,0.51,0.11,365927.00,36.34,70568.00,0.00,2.74,79324.00,542.00,26000.00
0.00,2029678.00,2.06,11.95,0.16,0.06,16381018.00,58.30,13844736.00,4966454.00,1.10,12138654.00,2146338.00,70910.00
0.00,690796.00,11.02,11.38,0.06,0.07,5358701.00,556.50,7529862.00,5781170.00,1.64,402.00,423838.00,2496652.00
0.00,740466.00,1.11,11.20,0.36,0.16,1996475.00,45.84,1291344.00,21720.00,1.82,2316608.00,576578.00,0.00
0.00,3080440.00,4.01,11.13,0.25,0.08,17273601.00,83.82,20846424.00,12073904.00,0.64,18662056.00,106332.00,24360.00
0.00,16144.00,6.87,11.12,0.75,0.02,422003.00,11.58,590428.00,18852.00,0.12,76584.00,101680.00,1758.00
1.00,-135446.00,1.35,10.42,0.10,-0.18,247924.00,5.60,304016.00,0.00,0.00,390608.00,12464.00,4342.00
0.00,31604.00,8.16,11.52,0.76,0.00,1659050.00,25.00,3261942.00,42544.00,0.56,936688.00,168520.00,156430.00
0.00,94296.00,2.37,10.31,0.67,0.05,598388.00,20.00,824900.00,14044.00,0.00,632432.00,238910.00,0.00
1.00,-320980.00,-6.89,9.19,-0.03,-0.68,58676.00,1.20,662644.00,265928.00,0.00,30768.00,488.00,0.00
0.00,49606.00,3.03,10.54,0.54,0.04,490288.00,16.40,580820.00,0.00,0.56,27526.00,99454.00,10340.00
1.00,-34158.00,-3.69,9.61,0.32,-0.05,303810.00,0.00,1588668.00,24456.00,0.00,320706.00,1366.00,0.00
0.00,136710.00,0.32,9.34,0.00,0.19,312601.00,16.80,83412.00,90.00,0.56,0.00,9802.00,136602.00
0.00,7742.00,4.46,9.26,1.76,0.01,74860.00,23.80,271268.00,822.00,0.04,91116.00,27826.00,0.00
0.00,4100.00,1.14,12.23,0.04,0.00,1166737.00,13.20,832454.00,35318.00,-0.06,297870.00,46088.00,315052.00
0.00,1682.00,0.71,8.41,0.00,0.00,358391.00,5.40,167214.00,0.00,0.56,2436.00,4390.00,6372.00
0.00,-2562.00,-33.37,10.01,0.09,0.00,497729.00,0.00,1131152.00,239992.00,0.00,114276.00,1456.00,0.00
0.00,1346.00,1.39,8.94,0.06,0.00,368193.00,3.80,326568.00,1442.00,1.54,38418.00,47080.00,18816.00
1.00,-77456.00,1001.39,9.61,0.01,-0.04,937926.00,2.40,1934694.00,138658.00,0.00,362924.00,2816.00,191636.00
1.00,-340262.00,10.89,14.72,0.19,-0.02,6300559.00,3.60,13492290.00,475822.00,0.00,5436492.00,535508.00,376404.00
0.00,91632.00,11.68,10.28,0.04,0.22,262793.00,3.60,356758.00,46264.00,0.00,152312.00,944.00,0.00
0.00,-99168.00,1.90,9.85,0.02,-0.12,245784.00,6.60,419654.00,27556.00,0.22,278340.00,92628.00,0.00
0.00,16358.00,0.15,9.01,0.00,0.01,795261.00,22.60,118938.00,0.00,0.00,826246.00,3632.00,63950.00
0.00,3730.00,5.73,13.80,0.86,0.00,1458601.00,14.70,1955154.00,5778.00,2.46,769676.00,131324.00,0.00
0.00,-36034.00,9.06,11.40,0.21,-0.05,360789.00,3.38,574472.00,1886.00,0.84,132270.00,4876.00,0.00
0.00,1578.00,0.46,8.04,1.03,0.03,19276.00,19.48,9488.00,0.00,0.00,5612.00,9534.00,0.00
0.00,204544.00,2.88,14.61,0.18,0.01,9266699.00,18.12,12188918.00,740512.00,-0.06,14745018.00,81066.00,0.00
0.00,10934.00,2.33,9.82,1.40,0.05,114001.00,30.00,99452.00,1856.00,0.20,23070.00,6748.00,24830.00
0.00,32552.00,2.69,10.29,0.22,0.02,631022.00,36.40,766086.00,0.00,0.02,439544.00,29034.00,75744.00
0.00,3847170.00,1.36,15.46,0.27,0.08,21438143.00,97.90,16635610.00,9748740.00,1.24,1615014.00,1303338.00,2657118.00
1.00,-16878.00,-3.80,8.14,0.00,-0.06,125913.00,0.00,550920.00,169474.00,0.00,40966.00,204.00,8388.00
0.00,131736.00,3.38,14.25,0.30,0.03,1923811.00,58.74,1942808.00,1273804.00,0.40,109506.00,12076.00,354110.00
0.00,631728.00,5.55,14.45,0.40,0.06,5891697.00,36.60,5899162.00,1743154.00,0.84,690432.00,462990.00,697922.00
0.00,90284.00,10.41,11.79,0.88,0.02,2654671.00,35.10,3641846.00,84038.00,0.48,873044.00,686608.00,26036.00
0.00,409096.00,2.67,12.95,0.08,0.02,11942477.00,18.22,13044102.00,3968978.00,1.76,6620750.00,416844.00,168694.00
0.00,-43990.00,4.14,11.18,0.66,-0.05,332829.00,10.40,679754.00,8100.00,1.34,370840.00,4764.00,0.00
0.00,1032.00,11.54,12.47,0.70,0.00,1076123.00,7.40,2063396.00,120350.00,0.34,527014.00,18182.00,0.00
0.00,77712.00,4.14,11.91,1.16,0.02,1473709.00,16.80,2012270.00,123102.00,1.34,968000.00,136584.00,0.00
0.00,4706.00,3.92,11.98,0.46,0.00,1242526.00,6.00,1792172.00,22434.00,1.48,1118594.00,23324.00,0.00
0.00,-2956.00,1.36,6.11,0.01,-0.01,179274.00,0.00,165202.00,6380.00,0.00,8.00,19978.00,16400.00
0.00,92914.00,4.01,14.74,0.21,0.01,2531280.00,15.40,3285478.00,889134.00,0.52,674206.00,69322.00,59000.00
0.00,1616.00,1.84,13.04,0.31,0.00,91233.00,0.00,272030.00,154074.00,0.00,11628.00,7366.00,4.00
0.00,-7512.00,24.92,10.75,0.38,-0.05,59051.00,0.00,135618.00,3244.00,0.00,17688.00,1208.00,0.00
0.00,27134.00,4.75,14.12,0.32,0.00,2920408.00,9.00,4177604.00,1129532.00,0.40,1026498.00,34452.00,0.00
0.00,8490.00,4.79,7.75,0.07,0.00,1288057.00,14.80,1674022.00,72226.00,-0.04,1208832.00,125746.00,0.00
0.00,251836.00,3.25,9.73,0.04,0.05,1819254.00,40.40,2422316.00,446558.00,-0.38,1513940.00,88666.00,106.00
0.00,54028.00,1.67,8.70,0.33,0.04,615591.00,25.00,536066.00,1446.00,-0.10,872.00,1774.00,385120.00
0.00,-1004.00,31.16,9.50,0.00,0.00,1707815.00,2.80,3022998.00,1411126.00,0.28,2755938.00,3162.00,0.00
0.00,56828.00,4.90,14.86,0.32,0.01,2064763.00,39.20,3076498.00,1761960.00,0.76,339804.00,94794.00,1384.00
1.00,-3286.00,11.48,,0.02,-0.05,26493.00,0.00,53952.00,0.00,0.00,566.00,214.00,0.00
